Round,Hotspot_Energy_Ratio,Coverage_Ratio,k,f
0,10.0,1.0,12,0.5
1,9.9649,1.0,12,0.4961
2,9.9401,1.0,12,0.4955
3,9.9233,1.0,12,0.4733
4,9.8984,1.0,12,0.4496
5,9.8751,1.0,11,0.4895
6,9.8444,1.0,12,0.4949
7,9.8262,1.0,12,0.4553
8,9.8022,1.0,12,0.4806
9,9.7795,1.0,12,0.4845
10,9.7589,1.0,11,0.4981
11,9.7391,1.0,12,0.4853
12,9.7101,1.0,12,0.4869
13,9.6796,1.0,12,0.4768
14,9.6685,1.0,12,0.4916
15,9.6453,1.0,12,0.4926
16,9.6274,1.0,12,0.498
17,9.5995,1.0,11,0.4988
18,9.5816,1.0,12,0.4711
19,9.5586,1.0,12,0.4926
20,9.5442,1.0,11,0.4947
21,9.5229,1.0,12,0.4949
22,9.4959,1.0,12,0.478
23,9.4748,1.0,12,0.4713
24,9.4522,1.0,12,0.4942
25,9.4188,1.0,12,0.4987
26,9.3809,1.0,12,0.4543
27,9.3427,1.0,12,0.4895
28,9.3237,1.0,12,0.4822
29,9.3109,1.0,12,0.4891
30,9.2905,1.0,11,0.468
31,9.2671,1.0,12,0.4751
32,9.2424,1.0,11,0.4992
33,9.2189,1.0,12,0.4832
34,9.1995,1.0,12,0.4993
35,9.1808,1.0,12,0.4955
36,9.1521,1.0,11,0.4962
37,9.1234,1.0,12,0.4902
38,9.1047,1.0,12,0.4881
39,9.0943,1.0,12,0.4832
40,9.0764,1.0,12,0.4683
41,9.0583,1.0,12,0.4873
42,9.0399,1.0,12,0.4721
43,9.0241,1.0,12,0.4998
44,8.9972,1.0,11,0.499
45,8.988,1.0,12,0.4866
46,8.9672,1.0,11,0.4704
47,8.9473,1.0,12,0.4853
48,8.9242,1.0,12,0.4507
49,8.8968,1.0,12,0.4815
50,8.8744,1.0,12,0.4872
51,8.8536,1.0,12,0.4876
52,8.8387,1.0,11,0.4725
53,8.8294,1.0,11,0.4988
54,8.8085,1.0,12,0.4827
55,8.786,1.0,12,0.4993
56,8.7649,1.0,12,0.4956
57,8.7383,1.0,12,0.496
58,8.7282,1.0,12,0.4935
59,8.7084,1.0,12,0.4942
60,8.6851,1.0,12,0.4966
61,8.6736,1.0,12,0.4822
62,8.6466,1.0,12,0.489
63,8.6171,1.0,12,0.4556
64,8.5966,1.0,12,0.4779
65,8.5663,1.0,12,0.479
66,8.5396,1.0,12,0.4575
67,8.5136,1.0,12,0.4889
68,8.5012,1.0,12,0.4973
69,8.4794,1.0,12,0.4663
70,8.4636,1.0,12,0.4775
71,8.4489,1.0,12,0.4978
72,8.4327,1.0,12,0.4883
73,8.4124,1.0,12,0.4665
74,8.3898,1.0,12,0.4921
75,8.3663,1.0,12,0.4627
76,8.3582,1.0,12,0.4991
77,8.3446,1.0,12,0.4968
78,8.3266,1.0,12,0.4486
79,8.3,1.0,12,0.4902
80,8.2862,1.0,12,0.4691
81,8.2631,1.0,12,0.4869
82,8.2452,1.0,12,0.464
83,8.2194,1.0,12,0.4983
84,8.1943,1.0,12,0.4765
85,8.182,1.0,12,0.4867
86,8.157,1.0,12,0.4888
87,8.1288,1.0,11,0.4963
88,8.1052,1.0,11,0.4926
89,8.0797,1.0,12,0.4841
90,8.0562,1.0,12,0.4941
91,8.0327,1.0,11,0.4855
92,8.0132,1.0,11,0.4873
93,7.9813,1.0,12,0.4797
94,7.9565,1.0,12,0.498
95,7.9342,1.0,12,0.4903
96,7.9187,1.0,12,0.4861
97,7.8934,1.0,12,0.4992
98,7.8658,1.0,11,0.4883
99,7.8461,1.0,12,0.4931
100,7.829,1.0,12,0.4552
101,7.803,1.0,12,0.4934
102,7.7463,1.0,12,0.4931
103,7.7124,1.0,11,0.4813
104,7.6881,1.0,12,0.4735
105,7.6526,1.0,12,0.4964
106,7.628,1.0,12,0.4843
107,7.6032,1.0,11,0.4942
108,7.5746,1.0,12,0.4944
109,7.5427,1.0,12,0.4955
110,7.5191,1.0,12,0.4966
111,7.4736,1.0,12,0.4854
112,7.4262,1.0,12,0.4981
113,7.3865,1.0,11,0.4687
114,7.3588,1.0,12,0.4815
115,7.3392,1.0,11,0.4994
116,7.3074,1.0,12,0.4887
117,7.2689,1.0,12,0.497
118,7.2463,1.0,12,0.498
119,7.2243,1.0,12,0.4871
120,7.1966,1.0,12,0.4977
121,7.1796,1.0,11,0.4638
122,7.1361,1.0,12,0.4899
123,7.1054,1.0,12,0.4912
124,7.078,1.0,12,0.4827
125,7.0507,1.0,12,0.4841
126,7.0253,1.0,12,0.4784
127,7.0044,1.0,12,0.4982
128,6.9788,1.0,12,0.4848
129,6.9451,1.0,12,0.4656
130,6.9087,1.0,12,0.4951
131,6.8789,1.0,12,0.4957
132,6.8365,1.0,12,0.4798
133,6.8133,1.0,12,0.487
134,6.7883,1.0,11,0.4982
135,6.7704,1.0,12,0.4989
136,6.7489,1.0,12,0.4437
137,6.7186,1.0,12,0.4707
138,6.6927,1.0,11,0.4545
139,6.6647,1.0,12,0.4939
140,6.6231,1.0,12,0.4965
141,6.6018,1.0,12,0.4736
142,6.57,1.0,12,0.4941
143,6.5477,1.0,12,0.4932
144,6.5231,1.0,11,0.4888
145,6.4983,1.0,12,0.4544
146,6.4831,1.0,12,0.4624
147,6.4442,1.0,12,0.4963
148,6.4004,1.0,12,0.4711
149,6.3629,1.0,12,0.4974
150,6.3337,1.0,12,0.4834
151,6.3078,1.0,12,0.4869
152,6.2863,1.0,12,0.4996
153,6.2647,1.0,12,0.4959
154,6.2379,1.0,12,0.4916
155,6.2181,1.0,11,0.4735
156,6.1948,1.0,12,0.4694
157,6.1806,1.0,12,0.4802
158,6.157,1.0,12,0.4733
159,6.133,1.0,12,0.495
160,6.1182,1.0,12,0.4782
161,6.101,1.0,12,0.5
162,6.0777,1.0,12,0.4739
163,6.0571,1.0,12,0.4976
164,6.0364,1.0,12,0.4928
165,6.0117,1.0,11,0.4903
166,5.9909,1.0,12,0.4729
167,5.9728,1.0,12,0.4966
168,5.9444,1.0,12,0.4985
169,5.9291,1.0,12,0.4569
170,5.9043,1.0,12,0.4899
171,5.8868,1.0,12,0.494
172,5.8681,1.0,12,0.4823
173,5.8491,1.0,12,0.4804
174,5.8231,1.0,12,0.4947
175,5.7966,1.0,12,0.4935
176,5.7685,1.0,12,0.4881
177,5.7456,1.0,12,0.4879
178,5.7174,1.0,12,0.4757
179,5.696,1.0,12,0.4917
180,5.6744,1.0,12,0.4845
181,5.6559,1.0,12,0.496
182,5.6361,1.0,12,0.4943
183,5.6044,1.0,12,0.4859
184,5.586,1.0,12,0.4842
185,5.5708,1.0,12,0.4998
186,5.5525,1.0,12,0.488
187,5.5258,1.0,11,0.4951
188,5.5065,1.0,12,0.4755
189,5.4844,1.0,12,0.468
190,5.453,1.0,12,0.4976
191,5.4389,1.0,12,0.4977
192,5.4105,1.0,11,0.4916
193,5.3784,1.0,12,0.4952
194,5.3512,1.0,12,0.4861
195,5.3271,1.0,11,0.4849
196,5.3063,1.0,12,0.4909
197,5.2836,1.0,12,0.4647
198,5.2654,1.0,12,0.4973
199,5.2387,1.0,12,0.4966
200,5.2183,1.0,11,0.4977
201,5.2005,1.0,11,0.4755
202,5.1733,1.0,12,0.4751
203,5.1552,1.0,12,0.4788
204,5.1375,1.0,12,0.4933
205,5.1174,1.0,12,0.4982
206,5.1004,1.0,11,0.4759
207,5.0771,1.0,12,0.4609
208,5.0553,1.0,12,0.4969
209,5.0246,1.0,12,0.4887
210,5.0019,1.0,12,0.4912
211,4.9822,1.0,12,0.4733
212,4.9625,1.0,12,0.4725
213,4.9418,1.0,12,0.4899
214,4.9173,1.0,12,0.4878
215,4.898,1.0,11,0.4909
216,4.8725,1.0,11,0.4975
217,4.8599,1.0,12,0.496
218,4.8348,1.0,12,0.4832
219,4.8067,1.0,12,0.4948
220,4.791,1.0,12,0.4827
221,4.7695,1.0,12,0.471
222,4.7566,1.0,12,0.4725
223,4.7397,1.0,12,0.4657
224,4.7262,1.0,12,0.4784
225,4.7165,1.0,11,0.4967
226,4.6993,1.0,10,0.4989
227,4.6723,1.0,12,0.489
228,4.6522,1.0,12,0.4941
229,4.6295,1.0,12,0.4973
230,4.6019,1.0,12,0.4991
231,4.5816,1.0,12,0.4928
232,4.5544,1.0,12,0.4973
233,4.5317,1.0,12,0.4956
234,4.5063,1.0,12,0.4828
235,4.4865,1.0,12,0.496
236,4.4533,1.0,12,0.4874
237,4.4321,1.0,12,0.494
238,4.4056,1.0,12,0.4958
239,4.3872,1.0,12,0.4759
240,4.3632,1.0,12,0.4979
241,4.3419,1.0,12,0.4947
