Round,Hotspot_Energy_Ratio,Coverage_Ratio,k,f
0,1.0,1.0,8,0.5
1,0.9962,1.0,8,0.5
2,0.9935,1.0,8,0.5
3,0.991,1.0,8,0.5
4,0.9889,1.0,8,0.5
5,0.9858,1.0,8,0.5
6,0.9835,1.0,8,0.5
7,0.9812,1.0,8,0.5
8,0.9786,1.0,8,0.5
9,0.9763,1.0,8,0.5
10,0.9739,1.0,8,0.5
11,0.9713,1.0,8,0.5
12,0.9688,1.0,8,0.5
13,0.9662,1.0,8,0.5
14,0.9634,1.0,8,0.5
15,0.9609,1.0,8,0.5
16,0.9576,1.0,8,0.5
17,0.9546,1.0,8,0.5
18,0.9525,1.0,8,0.5
19,0.9502,1.0,8,0.5
20,0.948,1.0,8,0.5
21,0.9454,1.0,8,0.5
22,0.943,1.0,8,0.5
23,0.9406,1.0,8,0.5
24,0.9382,1.0,8,0.5
25,0.9368,1.0,8,0.5
26,0.9343,1.0,8,0.5
27,0.9313,1.0,8,0.5
28,0.9294,1.0,8,0.5
29,0.9278,1.0,8,0.5
30,0.9251,1.0,8,0.5
31,0.9226,1.0,8,0.5
32,0.9218,1.0,8,0.5
33,0.9202,1.0,8,0.5
34,0.9176,1.0,8,0.5
35,0.9146,1.0,8,0.5
36,0.912,1.0,8,0.5
37,0.91,1.0,8,0.5
38,0.9076,1.0,8,0.5
39,0.9057,1.0,8,0.5
40,0.9039,1.0,8,0.5
41,0.9012,1.0,8,0.5
42,0.8981,1.0,8,0.5
43,0.8959,1.0,8,0.5
44,0.8935,1.0,8,0.5
45,0.8912,1.0,8,0.5
46,0.8893,1.0,8,0.5
47,0.8874,1.0,8,0.5
48,0.8852,1.0,8,0.5
49,0.8825,1.0,8,0.5
50,0.8805,1.0,8,0.5
51,0.8782,1.0,8,0.5
52,0.8757,1.0,8,0.5
53,0.8731,1.0,8,0.5
54,0.8708,1.0,8,0.5
55,0.8681,1.0,8,0.5
56,0.8653,1.0,8,0.5
57,0.8632,1.0,8,0.5
58,0.8609,1.0,8,0.5
59,0.8585,1.0,8,0.5
60,0.856,1.0,8,0.5
61,0.8548,1.0,8,0.5
62,0.8523,1.0,8,0.5
63,0.8495,1.0,8,0.5
64,0.8465,1.0,8,0.5
65,0.8447,1.0,8,0.5
66,0.8424,1.0,8,0.5
67,0.8401,1.0,8,0.5
68,0.8373,1.0,8,0.5
69,0.8342,1.0,8,0.5
70,0.8315,1.0,8,0.5
71,0.8285,1.0,8,0.5
72,0.8261,1.0,8,0.5
73,0.823,1.0,8,0.5
74,0.8208,1.0,8,0.5
75,0.8193,1.0,8,0.5
76,0.8166,1.0,8,0.5
77,0.8135,1.0,8,0.5
78,0.8091,1.0,8,0.5
79,0.8069,1.0,8,0.5
80,0.8036,1.0,8,0.5
81,0.8008,1.0,8,0.5
82,0.7987,1.0,8,0.5
83,0.7958,1.0,8,0.5
84,0.7948,1.0,8,0.5
85,0.7921,1.0,8,0.5
86,0.7904,1.0,8,0.5
87,0.7877,1.0,8,0.5
88,0.7851,1.0,8,0.5
89,0.782,1.0,8,0.5
90,0.7792,1.0,8,0.5
91,0.777,1.0,8,0.5
92,0.7751,1.0,8,0.5
93,0.7712,1.0,8,0.5
94,0.7695,1.0,8,0.5
95,0.7684,1.0,8,0.5
96,0.766,1.0,8,0.5
97,0.7629,1.0,8,0.5
98,0.761,1.0,8,0.5
99,0.7584,1.0,8,0.5
100,0.7561,1.0,8,0.5
101,0.7524,1.0,8,0.5
102,0.7496,1.0,8,0.5
103,0.7473,1.0,8,0.5
104,0.7448,1.0,8,0.5
105,0.7424,1.0,8,0.5
106,0.7398,1.0,8,0.5
107,0.7366,1.0,8,0.5
108,0.7355,1.0,8,0.5
109,0.7329,1.0,8,0.5
110,0.7304,1.0,8,0.5
111,0.7282,1.0,8,0.5
112,0.7254,1.0,8,0.5
113,0.7232,1.0,8,0.5
114,0.7211,1.0,8,0.5
115,0.7183,1.0,8,0.5
116,0.7148,1.0,8,0.5
117,0.712,1.0,8,0.5
118,0.7092,1.0,8,0.5
119,0.7071,1.0,8,0.5
120,0.7048,1.0,8,0.5
121,0.7025,1.0,8,0.5
122,0.6994,1.0,8,0.5
123,0.697,1.0,8,0.5
124,0.6935,1.0,8,0.5
125,0.6913,1.0,8,0.5
126,0.6896,1.0,8,0.5
127,0.687,1.0,8,0.5
128,0.685,1.0,8,0.5
129,0.6832,1.0,8,0.5
130,0.6796,1.0,8,0.5
131,0.6766,1.0,8,0.5
132,0.6744,1.0,8,0.5
133,0.6719,1.0,8,0.5
134,0.6701,1.0,8,0.5
135,0.6676,1.0,8,0.5
136,0.6652,1.0,8,0.5
137,0.6631,1.0,8,0.5
138,0.6598,1.0,8,0.5
139,0.6584,1.0,8,0.5
140,0.6558,1.0,8,0.5
141,0.6534,1.0,8,0.5
142,0.6509,1.0,8,0.5
143,0.6477,1.0,8,0.5
144,0.6454,1.0,8,0.5
145,0.6431,1.0,8,0.5
146,0.6404,1.0,8,0.5
147,0.6376,1.0,8,0.5
148,0.6361,1.0,8,0.5
149,0.6326,1.0,8,0.5
150,0.63,1.0,8,0.5
151,0.6287,1.0,8,0.5
152,0.6267,1.0,8,0.5
153,0.6242,1.0,8,0.5
154,0.6217,1.0,8,0.5
155,0.6195,1.0,8,0.5
156,0.6179,1.0,8,0.5
157,0.6154,1.0,8,0.5
158,0.6131,1.0,8,0.5
159,0.61,1.0,8,0.5
160,0.6075,1.0,8,0.5
161,0.6057,1.0,8,0.5
162,0.6036,1.0,8,0.5
163,0.6009,1.0,8,0.5
164,0.5985,1.0,8,0.5
165,0.5957,1.0,8,0.5
166,0.5926,1.0,8,0.5
167,0.5912,1.0,8,0.5
168,0.5891,1.0,8,0.5
169,0.5869,1.0,8,0.5
170,0.584,1.0,8,0.5
171,0.5823,1.0,8,0.5
